hex_id,lat,lon,restaurant_accessibility,grocery_store_accessibility,school_accessibility,hospital_accessibility,marta_stop_accessibility,police_station_accessibility,park_accessibility,crime_incident_accessibility,police_station_norm,grocery_store_norm,hospital_norm,marta_stop_norm,school_norm,restaurant_norm,park_norm,user_match_score,suitability,suitability_label
8844c1af6bfffff,33.77632117140202,-84.45701233489602,0.41534507994499603,0.16662471883636368,14.357676294884133,3.125808507399938,448.3590588265766,11.165994187035635,21.50745683711298,-450.92262219726047,0.5077282535959291,0.055909627798051253,0.29920899054172667,0.5927345660506194,0.5032064167961335,0.11771960094267996,0.426204515576115,0.33943764435014545,5,
8844c1a133fffff,33.719507031463856,-84.4695550782747,0.056353981941679517,0.1854028704392455,14.181203989670639,2.4175888758703876,359.4591694191656,10.661941497844413,17.872569611956575,-186.9519688099441,0.4788050400623523,0.06411493341356754,0.166811994055437,0.4540287866731371,0.4886736162955706,0.015972184542511106,0.35207680898520094,0.27591830318326277,6,
8844c1a883fffff,33.79353053225406,-84.40412711724403,1.9143635910695704,1.4589781702238471,14.519335729567063,4.920905009924933,435.11305905267375,12.454477436929142,33.681803682016586,-987.617662738038,0.5816631357426822,0.6206167010050958,0.6347904609735247,0.5720675355906244,0.5165193517092838,0.5425804442651629,0.674480831993663,0.5933361066899576,1,Okay
8844c1a985fffff,33.77951765221731,-84.32469003157162,1.0145708230457184,0.7984730277057963,16.57643330925138,5.747834176415892,365.1053309814612,11.661050888085683,21.49908459618521,-66.90887003783662,0.5361352653681977,0.3320022159591337,0.7893794233182457,0.4628381929076077,0.6859249063065117,0.28755576551633893,0.42603377712384416,0.5059154538532424,2,Less Suitable
8844c1a913fffff,33.75074111646996,-84.32629626671847,0.8079754598177924,0.623985242602683,18.09163257852896,4.408952839783309,413.78474273325827,12.522221661135918,19.380455165678534,-345.03714307118713,0.5855503894056733,0.2557579916486935,0.5390843739719519,0.5387900955666396,0.810704194888764,0.22900126495738155,0.3828277211800545,0.4726647667439752,2,Less Suitable
8844c1a12bfffff,33.69671361215023,-84.45663746812329,0.0028995136048716856,0.14011868561269208,14.745753742655882,2.368451224550515,349.41888580081724,10.118565951261225,11.448188316212281,-226.57921619093185,0.44762542868488503,0.044327545181257595,0.15762603371275158,0.4383634649979689,0.535165267905442,0.0008217975870535612,0.22106183596947068,0.2501245602368993,7,
8844c1a9e3fffff,33.771921759129185,-84.32039848120014,0.842318521954363,0.723582673019554,17.037439761649015,5.228948624539096,378.85684990882044,11.940248174300342,20.686051210609378,-99.91598560340711,0.552155976893691,0.2992781086641045,0.6923771862576198,0.48429395807399894,0.7238895874731223,0.23873498220859382,0.40945326264805065,0.485851705104951,2,Less Suitable
8844c13341fffff,33.80667641411623,-84.30430604288715,0.6983506151961018,1.2240332676949333,13.968913613931525,5.4676959691743106,290.7959704998781,5.254883953398361,6.398659698989745,-1.052038671901778,0.16854088851643795,0.5179551202049083,0.7370094301852729,0.3468972414694722,0.47119113554555303,0.1979307320790874,0.1180847826046885,0.36679395536472065,4,
8844c10699fffff,33.78388996947607,-84.29143800901976,0.3779102950203005,1.245176610737661,15.623648391524558,5.088087162125005,356.4606939752591,5.765274054786043,7.16931940516268,-1.383265041626494,0.1978277511885655,0.5271939204376562,0.6660440634324106,0.4493504245720858,0.6074614153212389,0.10710960902151935,0.1338011537166339,0.37909432698524115,4,
8844c1a983fffff,33.78791783884407,-84.33837142490475,1.4611350702868036,1.0533157056154023,16.170196399585297,6.065675342721909,374.53290569405465,11.75342793998079,30.24817104161386,-107.71937293006845,0.541435983437675,0.44335833344856695,0.8487977363742291,0.4775475373946067,0.6524705920048984,0.41412369064368254,0.6044573905104663,0.5759103838641264,1,Okay
