hex_id,lat,lon,restaurant_accessibility,park_accessibility,clinic_accessibility,restaurant_norm,park_norm,clinic_norm,user_match_score,suitability,suitability_label
8844c1a069fffff,33.67341242235645,-84.52398765853546,0.0,1.444767638700914,0.5385289508841989,0.0,0.07101453231254995,0.07338706638692731,0.03645627978602592,1,Okay
8844c1aa21fffff,33.69036578597637,-84.38151251988317,0.0,2.0677558156273568,0.191144494283548,0.0,0.1016362134989168,0.026047872948057632,0.020582770529114735,2,Less Suitable
8844c1b8b7fffff,33.66553103593194,-84.43003561565017,4.396577462259384,4.379220621086027,0.7455946971205534,0.07121624245220631,0.21525143280446732,0.10160457937403058,0.09777509625616213,0,Most Suitable
8844c1ab19fffff,33.688772564698475,-84.36274288879305,0.0,1.6445809661477853,0.0,0.0,0.08083593861925045,0.0,0.008083593861925045,2,Less Suitable
8844c1a869fffff,33.70996736772972,-84.3568533403822,0.431018491063695,2.933233860761318,0.523417568694188,0.006981684645492841,0.14417697711764818,0.07132778989648839,0.04643965599310659,1,Okay
8844c1a015fffff,33.711405393476376,-84.54555726407865,0.0,0.1499875516431047,0.0,0.0,0.00737232448133791,0.0,0.000737232448133791,2,Less Suitable
8844c1ad57fffff,33.84070782685464,-84.44876706448382,0.0,0.3496037478515841,0.48980304032474137,0.0,0.01718404121421105,0.06674703036450125,0.028417216267221605,2,Less Suitable
8844c1b983fffff,33.63956814653543,-84.37960460642992,0.45892416112695233,0.3692717989425268,0.0,0.007433703740362814,0.018150783140254267,0.0,0.005531930184206834,2,Less Suitable
8844c1a143fffff,33.67707784234189,-84.481303570825,0.0,1.7555726147240927,0.42376683881192645,0.0,0.08629150102465746,0.05774806550587186,0.031728376304814496,2,Less Suitable
8844c1a1d5fffff,33.73786290788262,-84.51578470534334,0.36512500500769324,1.1631850305387526,0.25703978632414454,0.005914334753612682,0.05717392798951566,0.03502763562122372,0.022685614424247394,2,Less Suitable
8844c1b9a7fffff,33.64398628636422,-84.34637753412387,0.24049200207884253,0.29810292010664236,0.0,0.003895515744890774,0.014652625713165661,0.0,0.0034130204437619535,2,Less Suitable
8844c1a857fffff,33.73435435691082,-84.38851527775459,7.285347672991101,12.334029993899524,3.0417608268843357,0.11800885818163749,0.6062534542463266,0.4145104982177948,0.2854339738025693,0,Most Suitable
8844c1a865fffff,33.71596527901207,-84.34237710323242,0.48614088897362506,2.8164097062817692,0.0,0.007874563273880118,0.13843473008017027,0.0,0.017780754644957084,2,Less Suitable
8844c1aee7fffff,33.841067269388276,-84.5385753943388,0.0,2.440612356508825,0.9724793706062023,0.0,0.11996319713358691,0.1325228811067967,0.06500547215607737,1,Okay
8844c1ac11fffff,33.8606831732378,-84.51386544325256,0.5772707376919155,3.772729282771299,1.498027039216793,0.00935069452748926,0.18544061922564176,0.2041409465469103,0.10487578780507292,0,Most Suitable
8844c1ad5bfffff,33.83470758948573,-84.4632721598309,0.25447105649712165,1.0764586600811976,0.4395033280243197,0.004121949996817533,0.05291107459203368,0.059892527334026016,0.031309093391222544,2,Less Suitable
8844c1a841fffff,33.71156358063892,-84.37562535276507,0.5206320627370817,4.598616668985931,0.8318958969007897,0.008433255077740023,0.2260353867881285,0.11336512050583979,0.07216621442001878,1,Okay
8844c1ade5fffff,33.87548779405711,-84.43268242131877,0.0,1.257320073776048,0.21727145502959977,0.0,0.06180093920616299,0.029608277638670903,0.01802340497608466,2,Less Suitable
8844c1ac2bfffff,33.850698131832786,-84.481307086505,2.7687048779816728,1.0706129406260634,0.5020705251930829,0.04484778434169126,0.052623740475448676,0.06841875985082778,0.05505377015872161,1,Okay
8844c1ab51fffff,33.674375185958276,-84.36354061476005,0.0,1.0638204726173592,0.0,0.0,0.052289870913337075,0.0,0.005228987091333708,2,Less Suitable
8844c13263fffff,33.82509240249954,-84.35045675368134,6.493692346961032,6.211508391967908,2.1015706024660132,0.10518553865159444,0.3053137069208644,0.2863877625646019,0.19767924504372442,0,Most Suitable
8844c13289fffff,33.879871466740084,-84.39936309015975,0.29127930542559244,1.8368349922286769,0.0,0.004718174037547624,0.0902857832735891,0.0,0.011387665346132723,2,Less Suitable
8844c1a1c3fffff,33.73026487789799,-84.51147165429914,0.831322678628491,1.4702161342003432,0.21482117190704172,0.013465855644631281,0.07226539989674846,0.029274369703198366,0.025669215693269833,2,Less Suitable
8844c1ad89fffff,33.88548634403942,-84.46522558326303,20.304108369574152,4.275074890457237,0.0,0.32888816740655796,0.21013236718115197,0.0,0.18545732042139418,0,Most Suitable
8844c1a22dfffff,33.646151235014344,-84.54434140658813,0.0,0.24464020604352663,0.3819724614652056,0.0,0.012024777792398588,0.05205261173331575,0.022023522472566157,2,Less Suitable
8844c1a83dfffff,33.74635152054913,-84.35954989263021,24.64817012847559,10.39319911804463,3.297637136455716,0.39925375475374414,0.5108559707655078,0.44937958313240456,0.4304643077063847,0,Most Suitable
8844c1ae09fffff,33.7902585455456,-84.53658598183084,0.11186667886421071,1.3884220528559919,0.5258432929894649,0.0018120286956624357,0.06824498285735059,0.07165835112184421,0.03639385308230396,1,Okay
8844c1ad01fffff,33.839108915572105,-84.42995516661996,2.519410811310898,0.5644667324544497,1.2420669747884416,0.040809691792129135,0.02774518195001196,0.1692604480894656,0.090883543326852,0,Most Suitable
8844c1a01dfffff,33.70459184728215,-84.55064793302977,0.0,0.1809939405522375,0.0,0.0,0.008896378694694307,0.0,0.0008896378694694308,2,Less Suitable
8844c1aa99fffff,33.74752046526913,-84.45858502300864,0.0,1.7152139498431642,0.750453039969706,0.0,0.08430775524124892,0.102266641327461,0.04933743205510929,1,Okay
8844c1a915fffff,33.742341743302866,-84.31262254488776,2.938000473130298,5.6830444566695455,0.7044505979211533,0.047590052902563885,0.2793381671842412,0.0959977410890709,0.09012793960533443,0,Most Suitable
8844c1b8a5fffff,33.641945944125226,-84.40775361877891,2.0897294702656897,1.189869398227291,0.34773159295073863,0.03384966644883873,0.05848554228699645,0.04738649882203872,0.0417279869819345,1,Okay
8844c1a065fffff,33.67943966924048,-84.50949790803786,0.0,2.661791019758302,0.5381646290144837,0.0,0.13083477184735867,0.07333741907791058,0.042418444815900104,1,Okay
8844c1ad05fffff,33.838308514663005,-84.42055096182017,1.4452951848945395,0.4536984762117737,1.2611791941356802,0.023411049432428586,0.02230059992765762,0.17186493148396917,0.08268155730256772,1,Okay
8844c1af43fffff,33.77790986552283,-84.47581936292903,0.0,2.0746724566486305,0.7275676797567676,0.0,0.10197618652581905,0.0991479799324178,0.04985681062554903,1,Okay
8844c1169bfffff,33.64318985693971,-84.33700032320561,0.0,0.7302311842693228,0.0,0.0,0.03589298697024631,0.0,0.003589298697024631,2,Less Suitable
8844c1a9d5fffff,33.77433235871583,-84.34856197739674,20.44557754520015,13.742526373516176,4.360488207018737,0.33117970058148294,0.6754851486607546,0.5942177054780269,0.47082544734802767,0,Most Suitable
8844c1328dfffff,33.879066819159696,-84.38995881925044,2.4014120591205725,2.771129077942145,0.1876902813450939,0.03889833510225393,0.1362090554746343,0.02557715627848452,0.0433009356099842,1,Okay
8844c116bdfffff,33.639997904005234,-84.29950309827794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Less Suitable
8844c1a9c7fffff,33.76593336782192,-84.33487991371707,8.286067102583782,12.113560453875614,2.5806677689933184,0.13421862092010223,0.5954167350019512,0.3516758691891398,0.26732133163590216,0,Most Suitable
8844c1a817fffff,33.75554770208368,-84.38262659067712,41.2918708233721,20.344675824128316,6.244252742451302,0.6688502384196051,1.0,0.8509243371124992,0.7747948540548022,0,Most Suitable
