type,name,lat,lon,amenity,cuisine,leisure,osm_id
restaurant,Figo,33.7586075,-84.3489666,restaurant,,,1088565440
restaurant,Savage Pizza,33.7672436,-84.3493661,restaurant,pizza,,1088818005
restaurant,Urban Pie,33.7513294,-84.3218669,restaurant,pizza,,1105747333
restaurant,Mangos Caribbean,33.7556878,-84.3817848,restaurant,caribbean,,1127168751
restaurant,Buns and Shakes,33.7556908,-84.381305,restaurant,,,1127168752
restaurant,Wok and Roll,33.755637,-84.3795095,restaurant,,,1127215868
restaurant,Holy Taco,33.7403114,-84.3446271,restaurant,mexican,,1134019026
restaurant,Fresh2Order,33.775362,-84.2947595,restaurant,,,1153668601
restaurant,Spanish Harlem,33.7545522,-84.3791899,restaurant,,,1179861864
restaurant,Luna Nueva,33.7651102,-84.3497971,restaurant,mexican;bar_and_grill,,1237972381
restaurant,Niramish,33.7648928,-84.3500519,restaurant,indian,,1237985316
restaurant,Sweet Lime,33.7645862,-84.3505078,restaurant,thai;sushi,,1237985322
restaurant,El Bandito Mexican Grill,33.7632796,-84.3515271,restaurant,mexican,,1237985326
restaurant,El Myr,33.7636114,-84.3513187,restaurant,burrito,,1237985328
restaurant,Ali Baba Mediterranean,33.7637965,-84.3510303,restaurant,turkish;mediterranean,,1237999100
restaurant,Treehouse Restaurant and Pub,33.8187767,-84.3811874,restaurant,american,,1252492781
restaurant,Paul's Restaurant,33.8179615,-84.3812037,restaurant,regional,,1252498884
restaurant,EAV Thai & Sushi,33.7411574,-84.3466799,restaurant,sushi,,1253884740
restaurant,KPot Korean BBQ & Hot Pot,33.8024099,-84.4127484,restaurant,korean,,1259091155
restaurant,Yoi Yoi Japanese Steakhouse & Sushi,33.810301,-84.4160536,restaurant,japanese,,1259638878
restaurant,Pero's Pizza & Pasta,33.8509061,-84.4291581,restaurant,pizza,,1273536527
restaurant,Apres Diem,33.7791816,-84.3671568,restaurant,european,,1290222141
restaurant,Umma Kitchen,33.7803773,-84.3687017,restaurant,korean,,1290222164
restaurant,Alici,33.7802641,-84.3680522,restaurant,seafood;mediterranean,,1290222170
restaurant,Mellow Mushroom,33.7802888,-84.3685218,restaurant,pizza,,1290222186
restaurant,Farm Burger,33.7821169,-84.353883,restaurant,burger,,1291285067
restaurant,La Tavola,33.7824468,-84.3549103,restaurant,italian,,1291285069
restaurant,Dekalb Ave,33.7609981,-84.3474244,restaurant,barbecue,,1387066302
restaurant,Unknown,33.7665276,-84.3489024,restaurant,indian,,1387069338
restaurant,The Deer and The Dove,33.7744255,-84.2951601,restaurant,,,1400232345
restaurant,Home Bar,33.7513898,-84.3224426,restaurant,american,,1430289383
restaurant,The Argonaut,33.7516394,-84.3233689,restaurant,seafood,,1430289386
restaurant,No Mas Cantina,33.7497558,-84.4008807,restaurant,mexican,,1573256268
restaurant,Pizza Hut,33.7713964,-84.3719343,restaurant,pizza,,1573466987
restaurant,J.R. Cricket's,33.7710404,-84.3831791,restaurant,american;wings,,1573466993
restaurant,Benihana,33.8127925,-84.3916046,restaurant,japanese;teppanyaki;steak,,1579665765
restaurant,Waffle House,33.8611449,-84.3390065,restaurant,american,,1579763191
restaurant,Nikola's,33.8154476,-84.3361654,restaurant,,,1580487216
restaurant,El Potro,33.8452371,-84.326728,restaurant,mexican,,1580531365
restaurant,Pizza Hut,33.8420515,-84.3289744,restaurant,pizza,,1580531372
restaurant,Pancho's Mexican Restaurant & Cantina,33.8262762,-84.348008,restaurant,mexican,,1580540014
restaurant,Willy's Mexican Grill,33.7839217,-84.3787359,restaurant,mexican,,1595679215
restaurant,Grant Central Pizza East,33.7400291,-84.3456828,restaurant,pizza,,1667797713
restaurant,Gekko Sushi and Lounge,33.7713105,-84.3678707,restaurant,sushi,,1701892943
restaurant,Big Boss Chinese,33.781285,-84.3901179,restaurant,chinese,,1712783070
restaurant,5 Seasons,33.7788823,-84.4103302,restaurant,,,1740918262
restaurant,Q's Restaurant,33.6787676,-84.4410178,restaurant,,,1744225876
restaurant,Main Street BBQ,33.6809103,-84.4413182,restaurant,,,1744229876
restaurant,Ziba's,33.7392269,-84.367998,restaurant,american,,1748937752
restaurant,Matador Cantina,33.7404492,-84.3576367,restaurant,mexican,,1748940337
restaurant,Vickery's,33.7404514,-84.3574033,restaurant,american,,1748940945
restaurant,Yogli Mogli,33.788566,-84.3264918,restaurant,ice_cream,,1778992146
restaurant,La Parilla,33.8033837,-84.4125407,restaurant,mexican,,1855872439
restaurant,Mediterranean Grill,33.7812614,-84.3683173,restaurant,kebab;mediterranean;greek,,1953501533
restaurant,Q Korean BBQ Revolving Sushi,33.7926557,-84.3050562,restaurant,indian,,2015638323
restaurant,The Po'Boy Shop,33.7928831,-84.3050133,restaurant,,,2015638365
restaurant,Mela Restaurant & Lounge,33.7924327,-84.3050749,restaurant,,,2015638368
restaurant,Community Q BBQ,33.7925376,-84.3050509,restaurant,,,2015638380
restaurant,Hong Kong Buffett,33.7580206,-84.3896289,restaurant,chinese,,2033588226
restaurant,Thrive Restaurant & Bar,33.7569676,-84.3923429,restaurant,american;sushi;fusion,,2035267511
restaurant,Rosa,33.787164,-84.355711,restaurant,mexican,,2184805458
restaurant,Mali,33.7873802,-84.3557057,restaurant,thai;sushi,,2184808410
restaurant,George's,33.7830231,-84.3542345,restaurant,burger,,2184844380
restaurant,Murphy's,33.7820577,-84.3548754,restaurant,american,,2184846433
restaurant,Ela,33.7868731,-84.3554562,restaurant,mediterranean,,2184849461
restaurant,Highland Tap,33.7825288,-84.3545335,restaurant,steak_house,,2184853747
restaurant,Bar.bacoa,33.7825069,-84.3546814,restaurant,spanish,,2184853755
restaurant,Fontaine's,33.7826034,-84.3545294,restaurant,seafood,,2184855561
restaurant,Illegal Food,33.7768443,-84.3530763,restaurant,,,2184961240
restaurant,Atkin's Park,33.776144,-84.35268,restaurant,american,,2184964312
restaurant,Surin,33.7765759,-84.352536,restaurant,thai,,2184964331
restaurant,Unknown,33.7765088,-84.3530717,restaurant,thai,,2184964725
restaurant,Ocean Wave Sushi By Harry and Sons,33.7769211,-84.3526587,restaurant,sushi,,2184965596
restaurant,Osteria 832,33.7772288,-84.3528518,restaurant,italian,,2184968892
restaurant,Papi's,33.7728047,-84.3803686,restaurant,cuban,,2186534351
restaurant,Marlow's Tavern,33.8011797,-84.3281399,restaurant,american,,2189982578
restaurant,Tin Lizzy's,33.801147,-84.3278077,restaurant,mexican,,2189996987
restaurant,Wisteria,33.7667945,-84.3528518,restaurant,american,,2210349281
restaurant,Shorty's,33.8178332,-84.3101804,restaurant,pizza,,2210572246
restaurant,La Parilla,33.8148066,-84.3108678,restaurant,mexican,,2210572247
